GEOID,NAME,medhomeval,medhhincome,poverty_rate,bachelors_rate,pBlack,pHispanic,vacancy_rate
17031823603,"Census Tract 8236.03, Cook County, Illinois",118100,38047,0.3631647211413748,0.0357653791130186,0.3437094682230869,0.6199740596627756,0.24123989218328842
17031823604,"Census Tract 8236.04, Cook County, Illinois",285300,86771,0.03754080522306855,0.28522856063468077,0.009793253536452665,0.10282916213275299,0.05244755244755245
17031823605,"Census Tract 8236.05, Cook County, Illinois",278800,62500,0.11971496437054632,0.23432231962238706,0.049168646080760096,0.05795724465558195,0.06856084002470661
17031823702,"Census Tract 8237.02, Cook County, Illinois",230800,59546,0.1894925178919974,0.18035882908404155,0.1340273259596617,0.13809368900455432,0.09760658189977561
17031823703,"Census Tract 8237.03, Cook County, Illinois",157800,55389,0.21696366581809767,0.11342506507995537,0.010298542004165702,0.20782226336496182,0.08857395925597875
17031823704,"Census Tract 8237.04, Cook County, Illinois",235700,91250,0.008669046404895462,0.1725985457328741,0.04028556858745538,0.1282508924018358,0.0861561119293078
17031823705,"Census Tract 8237.05, Cook County, Illinois",241600,59018,0.13107119095143047,0.19961489088575096,0.06897316478154801,0.19560878243512975,0.027413587604290822
17031823801,"Census Tract 8238.01, Cook County, Illinois",427500,103160,0.03200723327305606,0.2938765670202507,0.02278481012658228,0.09276672694394214,0.10904684975767366
17031823803,"Census Tract 8238.03, Cook County, Illinois",226100,70909,0.08003072196620584,0.17426926483613817,0.006144393241167435,0.07127496159754225,0.0796039603960396
17031823805,"Census Tract 8238.05, Cook County, Illinois",137000,54392,0.06001371742112483,0.1990582191780822,0.010973936899862825,0.14368998628257887,0.04807692307692308
17031823806,"Census Tract 8238.06, Cook County, Illinois",160600,48050,0.10754115772703134,0.12099644128113879,0.030801911842804036,0.12400424853956453,0.09542631281761717
17031823901,"Census Tract 8239.01, Cook County, Illinois",349700,90536,0.025527481114873664,0.22302158273381295,0.014066163063297733,0.021620213597290962,0.061807580174927115
17031823903,"Census Tract 8239.03, Cook County, Illinois",330000,88819,0.08010505581089954,0.25317953268263826,0.030203545633617858,0.0632523528124316,0.034924330616996506
17031823904,"Census Tract 8239.04, Cook County, Illinois",258900,95156,0.03960645812310797,0.23121761658031087,2.522704339051463e-4,0.012865792129162463,0.07847663012117714
17031824003,"Census Tract 8240.03, Cook County, Illinois",336500,96194,0.056662312214239056,0.2613201171435008,0,0.05780535597648596,0.04533091568449683
17031824004,"Census Tract 8240.04, Cook County, Illinois",381200,86029,0.06975466861955328,0.22015199803873498,0.033321127792017576,0.04137678506041743,0.05763024435223606
17031824005,"Census Tract 8240.05, Cook County, Illinois",368100,112125,0.034440772308227514,0.28203859475507176,0.004000695773177944,0.051835101756827276,0.0356803044719315
17031824006,"Census Tract 8240.06, Cook County, Illinois",456300,129667,0.05985617597292724,0.27267022278004394,0.007825719120135364,0.043993231810490696,0.019884541372674792
17031824105,"Census Tract 8241.05, Cook County, Illinois",289900,111494,0.010619204307508226,0.2588962284253143,0.006730481603350284,0.08420580317080467,0.09773584905660378
17031824106,"Census Tract 8241.06, Cook County, Illinois",279200,94764,0.04424003504161191,0.25419847328244277,0.02817929624762739,0.08103372755146737,0.03360413589364845
17031824107,"Census Tract 8241.07, Cook County, Illinois",268300,72289,0.05082517891047174,0.2505353319057816,0.048926537169563314,0.09040455674017818,0.0368231046931408
17031824108,"Census Tract 8241.08, Cook County, Illinois",223800,94020,0.13368719911122084,0.18794261848556382,0.10196272065177138,0.11504752499691397,0.038612799427958526
17031824113,"Census Tract 8241.13, Cook County, Illinois",341400,97365,0.085997171145686,0.2865030674846626,0.02065063649222065,0.11683168316831684,0.0192227329711659
17031824114,"Census Tract 8241.14, Cook County, Illinois",333300,108933,0.028152718858465098,0.31781110234148907,0.04839953721558041,0.03220208252988816,0.03803245436105477
17031824115,"Census Tract 8241.15, Cook County, Illinois",223100,74318,0.07599309153713299,0.1771680216802168,0.0846286701208981,0.08191463113742907,0.08496732026143791
17031824116,"Census Tract 8241.16, Cook County, Illinois",223600,68125,0.1075749115950121,0.21719335832886985,0.10943606923506422,0.12060301507537688,0.06178099701746911
17031824117,"Census Tract 8241.17, Cook County, Illinois",289400,102696,0.015762191896752355,0.30950279493968813,0.008462921823759652,0.05976938538030255,0.0151559312153891
17031824119,"Census Tract 8241.19, Cook County, Illinois",327400,106607,0.023165340406719716,0.31529632232372923,0.010256410256410256,0.06595932802829355,0
17031824120,"Census Tract 8241.20, Cook County, Illinois",353800,100911,0.06688963210702341,0.253008377760853,0.011482720178372352,0.05641025641025641,0.030156472261735418
17031824121,"Census Tract 8241.21, Cook County, Illinois",219800,81570,0.06533460196638123,0.2656507413509061,0.0034887408816999684,0.09165873771011734,0.0170316301703163
17031824122,"Census Tract 8241.22, Cook County, Illinois",279400,92476,0.07064051486362244,0.3250588487053285,0.037848605577689244,0.06680968433956481,0.01430374421539756
17031824123,"Census Tract 8241.23, Cook County, Illinois",219400,71671,0.13051170386499727,0.1973940101127966,0.022182906913445835,0.0884594447468699,0.04140999315537303
17031824300,"Census Tract 8243, Cook County, Illinois",80700,31480,0.3966094600251151,0.06923076923076923,0.8677270824612808,0.051485977396400165,0.1832348199892531
17031824400,"Census Tract 8244, Cook County, Illinois",188200,39080,0.16056910569105692,0.09232688708671241,0.31859756097560976,0.13109756097560976,0.12788018433179724
17031824503,"Census Tract 8245.03, Cook County, Illinois",189500,70133,0.04186178515680431,0.24538566155041772,0.08386547467007237,0.0810273875407975,0.07788863855809462
17031824505,"Census Tract 8245.05, Cook County, Illinois",204200,79904,0.04399748585795098,0.22460472168074508,0.0680389692017599,0.10810810810810811,0.05782312925170068
17031824506,"Census Tract 8245.06, Cook County, Illinois",187500,64908,0.013919095258808177,0.21796431467964314,0.02218355806872553,0.09888357256778309,0.044437726723095525
17031824507,"Census Tract 8245.07, Cook County, Illinois",197800,65682,0.15314230676619311,0.16153319644079397,0.04575006019744763,0.09318564892848544,0.04333145751266179
17031824601,"Census Tract 8246.01, Cook County, Illinois",180300,78444,0.06540825285338016,0.14676304211187932,0.043459174714661986,0.13147497805092187,0.033783783783783786
